agency,price,title,address,date,transport,bed,bath,chair
chancellors-east-oxford-oxford-13801,"£300,000",3 bed semi-detached house for sale,"Cowley, Oxford OX4",Listed on 19th Feb 2022,"['3.2 miles Oxford', '4.1 miles Radley']",3,1,1
scott-fraser-east-oxford-oxfordshire-12785,"£290,000",2 bed flat for sale,"Between Towns Road, Cowley, East Oxford OX4",Listed on 18th Feb 2022,"['2.8 miles Oxford', '3.5 miles Radley']",2,1,1
inspired-sales-and-acquisitions-oxford-129967,"£850,000",3 bed flat for sale,"Cranham Street, Oxford OX2",Listed on 18th Feb 2022,"['0.5 miles Oxford', '3.1 miles Oxford Parkway']",3,2,1
scott-fraser-east-oxford-oxfordshire-12785,"£260,000",1 bed flat for sale,"Addison Drive, Littlemore, Oxford OX4",Listed on 18th Feb 2022,"['2.9 miles Oxford', '2.9 miles Radley']",1,1,1
connells-cowley-oxford-1870,"£350,000",3 bed link-detached house for sale,"Warburg Crescent, Oxford OX4",Listed on 18th Feb 2022,"['3.2 miles Radley', '3.8 miles Oxford']",3,1,2
connells-cowley-oxford-1870,"£500,000",4 bed semi-detached house for sale,"Bleache Place, Cowley, Oxford OX4",Listed on 18th Feb 2022,"['3 miles Oxford', '3.7 miles Radley']",4,2,1
scott-fraser-headington-oxford-6859,"£830,000",3 bed detached house for sale,"St Andrews Lane, Old Headington, Oxford OX3",Listed on 18th Feb 2022,"['2.7 miles Oxford', '3.8 miles Oxford Parkway']",3,2,3
catalyst-resales-ealing-107578,"£108,000",2 bed flat for sale,"Kimmeridge Road, Cumnor OX2",Listed on 18th Feb 2022,"['2.3 miles Oxford', '4.7 miles Radley']",2,1,1
purplebricks-head-office-solihull-58933,"£400,000",3 bed detached house for sale,"Berry Close, Oxford OX4",Listed on 17th Feb 2022,"['3.4 miles Radley', '3.9 miles Oxford']",3,1,1
breckon-and-breckon-oxford-36492,"£1,475,000",5 bed semi-detached house for sale,"Woodstock Road, Oxford, Oxfordshire OX2",Listed on 17th Feb 2022,"['1.3 miles Oxford Parkway', '2.2 miles Oxford']",5,,
scott-fraser-east-oxford-oxfordshire-12785,"£270,000",1 bed flat for sale,"Kelburne Road, Cowley, East Oxford OX4",Listed on 17th Feb 2022,"['2.7 miles Oxford', '3.1 miles Radley']",1,1,1
jcp-estate-agents-north-oxford-oxford-4235,"£435,000",1 bed flat for sale,"The Heyes, Oxford OX1",Listed on 17th Feb 2022,"['0.3 miles Oxford', '3.5 miles Oxford Parkway']",1,1,1
chamberlain-evans-oxford-33362,"£550,000",3 bed detached house for sale,"York Avenue, Headington, Oxford OX3",Listed on 16th Feb 2022,"['2.9 miles Oxford', '4.7 miles Oxford Parkway']",3,,
breckon-and-breckon-oxford-36492,"£1,250,000",5 bed semi-detached house for sale,"Woodstock Road, Oxford, Oxfordshire OX2",Listed on 16th Feb 2022,"['1.3 miles Oxford Parkway', '2.2 miles Oxford']",5,,
breckon-and-breckon-oxford-36492,"£800,000",Property for sale,"Godstow Road, Wolvercote, Oxford, Oxfordshire OX2",Listed on 16th Feb 2022,"['1.7 miles Oxford Parkway', '2.3 miles Oxford']",,,
knight-frank-oxford-sales-oxford-36493,"£1,950,000",8 bed detached house for sale,"North Hinksey Village, Oxford OX2",Listed on 16th Feb 2022,"['1 miles Oxford', '4.1 miles Radley']",8,9,5
chancellors-summertown-oxford-1510,"£435,000",2 bed flat for sale,"Summertown, North Oxford OX2",Listed on 16th Feb 2022,"['1.4 miles Oxford', '2.2 miles Oxford Parkway']",2,1,1
chamberlain-evans-oxford-33362,"£500,000",4 bed end terrace house for sale,"Parsons Place, Oxford OX4",Listed on 16th Feb 2022,"['1.8 miles Oxford', '4.3 miles Oxford Parkway']",4,,
